top - 22:54:16 up  2:47,  1 user,  load average: 2.07, 1.25, 1.02
Tasks: 336 total,   2 running, 333 sleeping,   0 stopped,   1 zombie
%Cpu(s): 10.5 us, 15.8 sy,  0.0 ni, 68.4 id,  5.3 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.9 total,    516.3 free,   2422.0 used,    728.1 buff/cache     
MiB Swap:   3714.0 total,   2245.9 free,   1468.1 used.   1445.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2228 gv237     20   0  230236   5640   5284 S   0.0   0.1   0:00.03 dconf-s+
   2236 gv237     20   0 2736380   9280   9280 S   0.0   0.2   0:00.07 gjs
   2241 gv237     20   0  388856   9616   6572 S   0.0   0.2   0:09.69 ibus-da+
   2243 gv237     20   0  383524   5972   5796 S   0.0   0.2   0:00.01 gsd-a11+
   2244 gv237     20   0  413060   9352   8804 S   0.0   0.2   0:00.16 gsd-col+
   2245 gv237     20   0  431676   7568   7416 S   0.0   0.2   0:00.02 gsd-dat+
   2246 gv237     20   0  459004   6688   6304 S   0.0   0.2   0:00.19 gsd-hou+
   2258 gv237     20   0  411792   8908   8668 S   0.0   0.2   0:00.07 gsd-key+
   2259 gv237     20   0  741640  11524  10412 S   0.0   0.3   0:00.21 gsd-med+
   2260 gv237     20   0  597352  10256   9400 S   0.0   0.3   0:00.12 gsd-pow+
   2261 gv237     20   0  323768   9328   8932 S   0.0   0.2   0:00.02 gsd-pri+
   2262 gv237     20   0  531092   5892   5612 S   0.0   0.1   0:00.03 gsd-rfk+
   2265 gv237     20   0  309568   5756   5552 S   0.0   0.1   0:00.01 gsd-scr+
   2272 gv237     20   0  543196   9168   8720 S   0.0   0.2   0:00.05 gsd-sha+
   2275 gv237     20   0  385824   6632   6480 S   0.0   0.2   0:00.01 gsd-sma+
   2277 gv237     20   0  393640   7196   6944 S   0.0   0.2   0:00.02 gsd-sou+
   2278 gv237     20   0  412692   9092   8840 S   0.0   0.2   0:00.10 gsd-wac+
   2299 gv237     20   0  900068  14400  13448 S   0.0   0.4   0:00.28 evoluti+
   2304 gv237     20   0  305632   5648   5408 S   0.0   0.1   0:00.03 gsd-dis+
   2383 gv237     20   0  416248   9996   9564 S   0.0   0.3   0:00.06 gsd-pri+
   2384 gv237     20   0  610512   8376   7232 S   0.0   0.2   0:00.19 gvfs-ud+
   2418 gv237     20   0  389388   6988   6700 S   0.0   0.2   0:00.73 gvfs-af+
   2441 gv237     20   0  546680  11928  11928 S   0.0   0.3   0:00.06 goa-dae+
   2462 gv237     20   0  389132   6828   6732 S   0.0   0.2   0:00.04 goa-ide+
   2472 gv237     20   0  310768   5928   5704 S   0.0   0.1   0:00.02 gvfs-gp+
   2483 gv237     20   0  309780   5840   5620 S   0.0   0.1   0:00.02 gvfs-go+
   2491 gv237     20   0 1169324   8300   7484 S   0.0   0.2   0:00.10 evoluti+
